#起始日期：2016-01-30  终止日期：2016-01-30
#交易金额合计：157笔，共10620.00元
#下载时间：2016-01-30 17:02:07

退款申请时间	微信退款单号	商户退款单号	退款状态	退款成功时间	退款金额(元)	现金券退款金额(元)	微信支付单号	商户订单号	商户号	子商户号	交易金额(元)	appid	下单用户	退款入账账户	退款方式	
2016-01-26 17:43:45	`2009980438201601260137715873	`110309662016012328590793411453801425	"退款成功"	2016-01-26 17:57:03	36.00	0.00	`1009980438201601232859079341	`E2016012316354898150	1296288001		36.00	wxa9e5e7de9a850cea	odyFWs6csbVgFI27eIppvbHfjqto		原路退回
2016-01-26 16:32:05	`2005110438201601260137636700	`110309662016012528838503811453797125	"退款成功"	2016-01-27 22:26:22	38.00	0.00	`1005110438201601252883850381	`E2016012500253362162	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs6rV3HDDk2P821IMvDi22Vc		原路退回
2016-01-26 16:31:45	`2006560438201601260137638081	`110309662016012428832507601453797105	"退款成功"	2016-01-27 22:44:13	38.00	0.00	`1006560438201601242883250760	`E2016012423160082470	1296288001		38.00	wxa9e5e7de9a850cea	odyFWsyJDvs2i7hrwStV8qYx72eM		原路退回
2016-01-26 16:31:27	`2009070438201601260137638077	`110309662016012428830586971453797087	"退款成功"	2016-01-27 23:07:41	38.00	0.00	`1009070438201601242883058697	`E2016012422585735870	1296288001		38.00	wxa9e5e7de9a850cea	odyFWswuD1GW9cV_RciHwOChQhQA		原路退回
2016-01-26 16:31:06	`2005730438201601260137629756	`110309662016012428830252771453797066	"退款成功"	2016-01-27 00:54:04	38.00	0.00	`1005730438201601242883025277	`E2016012422552729312	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs3wMTdq8rTyX6ly6id-b9ag		原路退回
2016-01-26 16:30:44	`2002250438201601260137638068	`110309662016012428829735951453797044	"退款成功"	2016-01-27 22:52:15	38.00	0.00	`1002250438201601242882973595	`E2016012422515869918	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs9nO-qHWW8M1WENIhN3FJuw		原路退回
2016-01-26 16:30:22	`2009310438201601260137633103	`110309662016012428819767541453797022	"退款成功"	2016-01-29 23:21:10	76.00	0.00	`1009310438201601242881976754	`E2016012421400122262	1296288001		76.00	wxa9e5e7de9a850cea	odyFWs4ArbbGBUhD9YXYeKjo0QYs		原路退回
2016-01-26 16:30:01	`2003070438201601260137624540	`110309662016012428824770151453797001	"退款成功"	2016-01-29 23:01:55	76.00	0.00	`1003070438201601242882477015	`E2016012422133025536	1296288001		76.00	wxa9e5e7de9a850cea	odyFWs2kDgykGKLW5QQ7bRwh_isg		原路退回
2016-01-26 16:29:31	`2004610438201601260137640247	`110309662016012428816861961453796971	"退款成功"	2016-01-26 23:20:01	38.00	0.00	`1004610438201601242881686196	`E2016012421230475565	1296288001		38.00	wxa9e5e7de9a850cea	odyFWszdelqTGlSp-YuO4LBuMBZE		原路退回
2016-01-26 16:29:08	`2009580438201601260137628302	`110309662016012428813889601453796948	"退款成功"	2016-01-26 17:15:36	38.00	0.00	`1009580438201601242881388960	`E2016012421045351965	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs134mYyAtp1LcKvK6cjcR3U		原路退回
